"Video ID","Episode Number","Guest","New Tags Applied","Character Count","Date Updated","Status"
"MhHS4drVihM","1","MarKeisha Snaith","ethical leadership|responsible AI|AI governance|AI ethics|AI leadership|ai in healthcare|AI strategy|AI workforce|corporate culture|digital transformation|AI adoption|enterprise AI|MarKeisha Snaith|Gen Z leadership|AI workforce transformation|trust in the workplace|The Signal Room|Chris Hutchins|healthcare AI podcast|AI podcast","310","2026-03-28","APPLIED"
"0QC5nLRY5fs","2","Amanda Roser","personal AI|ai in healthcare|healthcare AI|patient experience|rare disease|caregiver support|AI for patients|digital health|health equity|AI strategy|responsible AI|AI ethics|Amanda Roser|patient navigation|healthcare innovation|The Signal Room|Chris Hutchins|healthcare AI podcast|AI podcast","274","2026-03-28","APPLIED"
"wizfkLwkIYw","3","Dr. Natasha Dole","AI in the ER|emergency medicine AI|ai in healthcare|healthcare AI|AI triage|medical AI risks|AI hallucinations|clinical AI governance|physician burnout AI|AI scribe|clinical decision support|Dr. Natasha Dole|human in the loop AI|digital health innovation|The Signal Room|Chris Hutchins|healthcare AI podcast|AI ethics|responsible AI","314","2026-03-28","APPLIED"
"iKiG5L005Fg","4","Gary Cao","CFO AI strategy|enterprise AI|ai in healthcare|AI strategy|data analytics ROI|AI investment|digital transformation|AI leadership|data governance|generative AI|responsible AI|AI adoption|machine learning business value|Gary Cao|AI roadmap|AI for finance|The Signal Room|Chris Hutchins|healthcare AI podcast|AI podcast","297","2026-03-28","APPLIED"
"7lsO0GK-UK4","5","Brian Sutherland","healthcare AI|ai in healthcare|AI strategy for healthcare|healthcare AI failures|AI governance in healthcare|AI pilot to production|AI change management|human centered AI|patient trust and AI|enterprise AI|AI product management|Brian Sutherland|healthcare automation|intelligent virtual assistant|The Signal Room|Chris Hutchins|responsible AI|AI ethics|healthcare AI podcast","356","2026-03-28","APPLIED"
"TvaEQ87vgpo","6","David Finkelshteyn","pharmaceutical AI|drug discovery AI|ai in healthcare|AI verification|AI in drug development|life sciences AI|explainable AI|regulatory AI healthcare|AI governance|healthcare AI governance|AI hallucinations|data integrity AI|AI auditability|black box AI|David Finkelshteyn|The Signal Room|Chris Hutchins|responsible AI|AI podcast|AI ethics","319","2026-03-28","APPLIED"
"gR6OXuIxIOY","7","Guman Chauhan","cybersecurity|healthcare cybersecurity|AI security|data breach detection|undetected breaches|zero trust security|identity based attacks|SOC monitoring|alert fatigue|credential theft|cyber risk management|security governance|enterprise security|AI governance|Guman Chauhan|The Signal Room|Chris Hutchins|healthcare AI podcast|responsible AI","321","2026-03-28","APPLIED"
"iNkDlnwZcMc","8","Mark Gendreau","healthcare AI|ai in healthcare|clinical AI|human in the loop AI|ambient clinical documentation|AI governance healthcare|AI ethics|hospital AI strategy|clinical decision support|physician burnout AI|AI patient safety|Mark Gendreau|healthcare leadership|medical AI ethics|The Signal Room|Chris Hutchins|responsible AI|enterprise AI|AI podcast","322","2026-03-28","APPLIED"
"mMtwcZBCzb8","9","Chris Hutchins (solo)","AI strategy|enterprise AI|ai in healthcare|AI adoption|AI transformation|responsible AI|AI ethics|AI leadership|AI governance|digital transformation|data strategy|generative AI healthcare|change management|future of work|AI readiness|operational efficiency|AI business value|The Signal Room podcast|Chris Hutchins|AI podcast","305","2026-03-28","APPLIED"
"8Yyji02GH7c","10","Aleida Lanza","healthcare interoperability|medical records access|ai in healthcare|healthcare AI|patient data ownership|EHR interoperability|health information exchange|precision medicine|data interoperability|responsible AI|AI ethics|Aleida Lanza|patient safety|healthcare data transparency|AI governance|The Signal Room|Chris Hutchins|healthcare AI podcast|AI podcast","336","2026-03-28","APPLIED"
"qYeC8dMRmJ4","11","Chris Hutchins (panel)","AI ethics|ethical AI|ai in healthcare|healthcare AI|responsible AI|AI governance|AI leadership|human centered AI|trust in AI|data privacy healthcare|clinical decision support AI|AI accountability|AI transparency|AI bias|life sciences AI|healthcare innovation|The Signal Room|Chris Hutchins|healthcare AI podcast|AI podcast","303","2026-03-28","APPLIED"
"SY9xtWnOSOE","12","Amit Shivpuja","AI governance|data strategy|responsible AI|AI leadership|trust in AI|human in the loop AI|ai in healthcare|data quality|AI adoption|enterprise AI|AI ethics|The Signal Room|Amit Shivpuja|AI bias|data governance|AI accountability|data literacy|AI implementation|ethical leadership|Chris Hutchins|healthcare AI podcast|AI podcast","305","2026-03-28","APPLIED"
"FhmwMJsVPB8","13","Anita Mareedu","cybersecurity|AI security|AI and cybersecurity|agentic AI|AI governance|national security AI|data security|AI risk management|cloud security|AI compliance|responsible AI|future of work|network security|enterprise AI|Anita Mareedu|The Signal Room|Chris Hutchins|healthcare AI podcast|AI ethics|AI adoption risks","291","2026-03-28","APPLIED"
"UpJJejIHN-4","14","Keshavon Shashari","explainable AI|ai in healthcare|context aware AI|AI transparency|human in the loop AI|AI governance|AI safety|AI bias|AI ethics|responsible AI|generative AI|agentic AI|healthcare AI|clinical AI|RLHF|AI guardrails|data quality|Keshavon Shashari|The Signal Room|Chris Hutchins|healthcare AI podcast|AI podcast","286","2026-03-28","APPLIED"
"ghk8jZeWw1k","15","Carol Velandia","language access|healthcare communication|patient safety|ai in healthcare|health equity|LEP patients|medical interpretation|AI translation|responsible AI|AI ethics|cultural competency|healthcare compliance|informed consent|patient experience|human centered AI|Carol Velandia|The Signal Room|Chris Hutchins|healthcare AI podcast|AI podcast","318","2026-03-28","APPLIED"
"s4ghn6k-t-8","16","Susie Brannigan","psychological safety|just culture healthcare|trauma informed leadership|healthcare leadership|ai in healthcare|AI ethics|AI adoption|healthcare AI|burnout in healthcare|change management|digital transformation|EHR implementation|responsible AI|emotional readiness|AI workforce|Susie Brannigan|The Signal Room|Chris Hutchins|healthcare AI podcast|AI podcast","337","2026-03-28","APPLIED"
"NGBbYZSdcLs","17","Danette McGilvray","data quality|data quality management|ai in healthcare|AI strategy|data governance|data integrity|generative AI|AI ethics|responsible AI|AI bias|healthcare data quality|AI data quality|Danette McGilvray|data strategy|AI adoption|enterprise AI|The Signal Room|Chris Hutchins|healthcare AI podcast|AI podcast","286","2026-03-28","APPLIED"
"fwVp0NsSFSI","18","Chris Hutchins (solo)","AI readiness|AI governance|responsible AI|AI verification|ai in healthcare|AI strategy|data readiness|data strategy for AI|healthcare AI|AI adoption|enterprise AI|AI risk management|scaling AI|operationalizing AI|digital health innovation|AI leadership|The Signal Room podcast|Chris Hutchins|healthcare AI podcast|AI podcast","305","2026-03-28","APPLIED"
"HAlocvYL0do","19","Dr. Larry Kuhn","psychological safety|AI leadership|trust in AI|healthcare leadership|AI transformation|change management|ai in healthcare|responsible AI|future of work|authentic leadership|organizational psychology|executive coaching|healthcare AI|AI ethics|AI adoption|Dr. Larry Kuhn|The Signal Room|Chris Hutchins|healthcare AI podcast|AI podcast","313","2026-03-28","APPLIED"
"oy7Q_tHzAng","20","Chris Hutchins (solo)","data readiness for AI|AI adoption|ai in healthcare|data strategy for AI|healthcare AI|data governance|responsible AI|data quality AI|AI governance healthcare|ethical AI|data integrity|AI leadership|digital health|AI infrastructure|clinical AI|The Signal Room podcast|Chris Hutchins|healthcare AI podcast|AI podcast","296","2026-03-28","APPLIED"
"H2sY21MyKgQ","21","Dr. Barry Chaiken","ai in healthcare|patient physician journey|healthcare AI|AI for clinicians|AI adoption|AI ethics|responsible AI in medicine|AI strategy healthcare|clinical AI|digital health innovation|patient experience AI|AI leadership healthcare|healthcare AI implementation|human centered AI|medical AI|The Signal Room podcast|Chris Hutchins|Dr. Barry Chaiken|healthcare AI podcast|AI podcast","360","2026-03-28","APPLIED"
"Lhtm0LffY84","22","Dr. Barry Chaiken","ai in healthcare|patient physician journey|healthcare AI|AI for clinicians|AI adoption|AI ethics|responsible AI in medicine|AI strategy healthcare|clinical AI transformation|digital health|patient experience AI|AI powered healthcare|healthcare AI implementation|human centered AI|medical AI deployment|The Signal Room podcast|Chris Hutchins|Dr. Barry Chaiken|healthcare AI podcast|AI podcast","372","2026-03-28","APPLIED"